5000,500
5,1.03606
10,0.759554
15,0.755284
20,0.577247
25,0.640094
30,0.631809
35,0.622097
40,0.528531
45,0.532521
50,0.529573
55,0.539784
60,0.523433
65,0.529334
70,0.529682
75,0.533956
80,0.53484
85,0.551513
90,0.546122
95,0.54089
100,0.530616
105,0.529185
110,0.535754
115,0.534952
120,0.535644
125,0.538933
130,0.531566
135,0.535531
140,0.531274
145,0.530913
150,0.535865
155,0.542257
160,0.665744
165,0.654496
170,0.668813
175,0.656081
180,0.646419
185,0.667484
190,0.660726
195,0.647788
200,0.659106
205,0.658897
210,0.672985
215,0.673463
220,0.651655
225,0.656132
230,0.639538
235,0.655661
240,0.657681
245,0.660783
250,0.671708
255,0.664999
260,0.646001
265,0.65348
270,0.680741
275,0.646707
280,0.650963
285,0.678371
290,0.646743
295,0.646503
300,0.662043
305,0.661307
310,0.653222
315,1.0159
320,0.972569
325,1.02959
330,0.968677
335,0.993977
340,0.971352
345,0.974337
350,0.96898
355,0.997496
360,0.984398
365,0.963382
370,0.97948
375,0.984495
380,0.976552
385,0.97709
390,0.966768
395,0.977799
400,1.02442
