75,50,100,5000,3.14159
50,0.0067612,0.0010008,0.0020089
100,0.0140116,0.0079295,0.0090871
150,0.0231178,0.0159329,0.0180008
200,0.0362153,0.0268818,0.0239834
250,0.045065,0.0367078,0.0333322
300,0.0510477,0.0504241,0.0420677
350,0.0778691,0.068946,0.040988
400,0.0851534,0.0704728,0.0567913
450,0.0814693,0.0634809,0.0894029
500,0.120791,0.0967131,0.0652473
550,0.121233,0.103207,0.100795
600,0.128981,0.119841,0.103233
650,0.169219,0.146544,0.12063
700,0.172053,0.150085,0.145762
750,0.193649,0.155373,0.155656
800,0.195177,0.179057,0.153668
850,0.207889,0.200544,0.15868
900,0.223201,0.201556,0.175038
950,0.22754,0.219883,0.190034
1000,0.269491,0.238822,0.173387
1050,0.269014,0.245008,0.227891
1100,0.26257,0.278019,0.238141
1150,0.303079,0.261421,0.252174
1200,0.307682,0.278303,0.272248
