75,50,100,5000
50,0.0142374,0.0198056,0.015008
100,0.0479174,0.0383751,0.046114
150,0.0818319,0.0821678,0.0971519
200,0.15036,0.101639,0.103639
250,0.151174,0.161771,0.159622
300,0.208188,0.204708,0.20403
350,0.230241,0.227021,0.270233
400,0.29412,0.269092,0.275427
450,0.329102,0.314755,0.32288
500,0.361723,0.32623,0.392659
550,0.416368,0.442317,0.408912
600,0.473676,0.467153,0.465376
650,0.529497,0.506267,0.500476
700,0.552461,0.556975,0.54304
750,0.628716,0.545705,0.614903
800,0.642054,0.629373,0.62364
850,0.712429,0.650371,0.705748
900,0.723979,0.704549,0.750843
950,0.794374,0.784565,0.742751
1000,0.848079,0.84074,0.837719
1050,0.894167,0.88662,0.898156
1100,0.969262,0.933108,0.947855
1150,1.07879,0.944002,1.04827
1200,1.08331,1.08143,1.04479
