5000
50,0.0138784,0.171271
100,0.0579516,0.347084
150,0.113944,0.554061
200,0.199008,0.723297
250,0.343549,0.843992
300,0.449768,1.11742
350,0.638978,1.2933
400,0.792028,1.47914
450,0.960461,1.64138
500,1.19402,1.76317
550,1.45056,2.07272
600,1.73632,2.33599
650,2.05835,2.56431
700,2.484,2.60826
750,2.72137,2.87576
800,3.10387,3.07937
850,3.45989,3.20581
900,4.09868,3.4061
950,4.47481,3.50548
1000,4.86134,3.67276
1050,5.3975,3.96048
1100,5.84686,4.26718
1150,6.37545,4.54989
1200,6.87108,4.79938
