5000
50,0.0020085,0.0549884
100,0.0179876,0.0981898
150,0.0240215,0.168201
200,0.0290668,0.23154
250,0.0504828,0.269674
300,0.0782077,0.364721
350,0.108481,0.412557
400,0.121529,0.472729
450,0.152709,0.51634
500,0.172857,0.563606
550,0.217501,0.655363
600,0.245432,0.746761
650,0.289913,0.809671
700,0.335277,0.869261
750,0.367807,0.927349
800,0.452396,0.951419
850,0.481044,1.02814
900,0.530168,1.07306
950,0.596289,1.10773
1000,0.641708,1.16732
1050,0.699865,1.26869
1100,0.785797,1.36726
1150,0.871024,1.42236
1200,0.872615,1.61497
